member_no,lastname,firstname,issue_dt,expr_dt,region_no,corp_no
1,ANDERSON,QDQRJVEINMJYHK,1999-10-13 10:41:32,2000-10-12 10:41:32,8,
2,BARR,CDGBLYOSQRXGXW,1999-10-13 10:41:32,2000-10-12 10:41:32,2,
3,CHEN,IIJVRIUE,1999-10-13 10:41:32,2000-10-12 10:41:32,9,
4,DORR,PULRAUPCEY,1999-10-13 10:41:32,2000-10-12 10:41:32,3,
5,EFLIN,IHNTOYGVFXJHUX,1999-10-13 10:41:32,2000-10-12 10:41:32,4,
6,FLORINI,EWMDEVDOOQYUL,1999-10-13 10:41:32,2000-10-12 10:41:32,8,
7,GOHAN,EIZNNQFUNRMCL,1999-10-13 10:41:32,2000-10-12 10:41:32,5,380
8,HAHN,AIUWISQYBRPCWX,1999-10-13 10:41:32,2000-10-12 10:41:32,3,
9,INFANTE,WLTANAWOIKGLQR,1999-10-13 10:41:32,2000-10-12 10:41:32,6,
10,JONES,MTTDMKJMSQWYIA,1999-10-13 10:41:32,2000-10-12 10:41:32,3,293
11,KAHRMANN,VJSBVYHVPFQGLG,1999-10-13 10:41:32,2000-10-12 10:41:32,9,
12,LING,JXSDIDIMJRASJC,1999-10-13 10:41:32,2000-10-12 10:41:32,6,
13,MAKAI,DNUKQYMLVY,1999-10-13 10:41:32,2000-10-12 10:41:32,2,
14,NELSON,LVIMUL,1999-10-13 10:41:32,2000-10-12 10:41:32,4,
15,OLPHANT,YWR,1999-10-13 10:41:32,2000-10-12 10:41:32,3,258
16,PAYNTER,FMPT,1999-10-13 10:41:32,2000-10-12 10:41:32,5,
17,QUINT,RYGRTFIGVXLH,1999-10-13 10:41:32,2000-10-12 10:41:32,7,
18,RYAN,WESRG,1999-10-13 10:41:32,2000-10-12 10:41:32,6,411
19,STEIN,IPLFLTVUARQIWQ,1999-10-13 10:41:32,2000-10-12 10:41:32,4,
20,TOLSKY,IVUNURTBYPQFDY,1999-10-13 10:41:32,2000-10-12 10:41:32,4,
21,UNAKLET,ITWRRHGJ,1999-10-13 10:41:32,2000-10-12 10:41:32,6,277
22,VANN,CRRY,1999-10-13 10:41:32,2000-10-12 10:41:32,5,
23,WOLFMULE,INXDMRKBLC,1999-10-13 10:41:32,2000-10-12 10:41:32,4,
24,XAVIER,PNLXXDRQ,1999-10-13 10:41:32,2000-10-12 10:41:32,9,
25,YEONG,NXU,1999-10-13 10:41:32,2000-10-12 10:41:32,5,
26,ZUCKER,QTSKRCCLSFWAPF,1999-10-13 10:41:32,2000-10-12 10:41:32,5,
27,ANDERSON,KIZMTUCNREYOHN,1999-10-13 10:41:33,2000-10-12 10:41:33,8,349
28,BARR,EDXMFNFHOPJD,1999-10-13 10:41:33,2000-10-12 10:41:33,4,
29,CHEN,HLWKRPNTJTDOQJ,1999-10-13 10:41:33,2000-10-12 10:41:33,7,
30,DORR,KNIUQHHDOQTTRX,1999-10-13 10:41:33,2000-10-12 10:41:33,5,304
31,EFLIN,PLNCZWLOSPYEKZ,1999-10-13 10:41:33,2000-10-12 10:41:33,4,
32,FLORINI,GQNCMXEGBTZTJW,1999-10-13 10:41:33,2000-10-12 10:41:33,5,
33,GOHAN,HYVDYEKKR,1999-10-13 10:41:33,2000-10-12 10:41:33,6,
34,HAHN,QTVDSVUEHEP,1999-10-13 10:41:33,2000-10-12 10:41:33,9,
35,INFANTE,KJOUWKXSLUXS,1999-10-13 10:41:33,2000-10-12 10:41:33,4,478
36,JONES,KCAIUADOCXJNM,1999-10-13 10:41:33,2000-10-12 10:41:33,8,
